Time,Inv 1 AC-Leistung (W)
28.07.2020,3276.0486W
29.07.2020,2695.5081W
30.07.2020,3086.0854W
31.07.2020,3679.8423W
01.08.2020,3803.0435W
02.08.2020,1969.0273W
03.08.2020,1212.1182W
04.08.2020,1609.8468W
05.08.2020,1216.1389W
06.08.2020,3378.0723W
07.08.2020,3324.3923W
08.08.2020,3766.8333W
09.08.2020,3277.9944W
10.08.2020,3527.7207W
11.08.2020,2199.7922W
12.08.2020,3343.2769W
13.08.2020,2189.5139W
14.08.2020,1949.3237W
15.08.2020,2146.4229W
16.08.2020,2693.4675W
17.08.2020,2263.3354W
18.08.2020,1805.8284W
19.08.2020,3360.5664W
20.08.2020,3957.8621W
21.08.2020,3850.0813W
22.08.2020,3475.7073W
23.08.2020,2083.4233W
24.08.2020,1050.0358W
25.08.2020,3799.5952W
26.08.2020,3703.1538W
27.08.2020,3779.5029W
28.08.2020,3031.2891W
29.08.2020,2529.4941W
30.08.2020,1818.8735W
31.08.2020,1104.7455W
01.09.2020,2734.1729W
02.09.2020,1528.3394W
03.09.2020,3392.5989W
04.09.2020,3570.594W
05.09.2020,3966.3477W
06.09.2020,1117.1731W
07.09.2020,1477.7405W
08.09.2020,2879.6499W
09.09.2020,4118.0371W
10.09.2020,3060.6875W
11.09.2020,3193.8608W
12.09.2020,3829.5095W
13.09.2020,3542.5669W
14.09.2020,3743.4304W
15.09.2020,3888.6265W
16.09.2020,2912.6299W
17.09.2020,1562.8516W
18.09.2020,3447.0264W
19.09.2020,3153.0974W
20.09.2020,3823.196W
21.09.2020,3774.4768W
22.09.2020,3103.9868W
23.09.2020,2973.1233W
24.09.2020,2684.5034W
25.09.2020,399.3034W
26.09.2020,2630.7605W
27.09.2020,3410.3691W
28.09.2020,356.4234W
29.09.2020,2519.1587W
30.09.2020,3783.5203W
01.10.2020,3883.6807W
02.10.2020,867.3793W
03.10.2020,2167.5378W
04.10.2020,3426.1631W
05.10.2020,2346.0781W
06.10.2020,4097.8286W
07.10.2020,1201.554W
08.10.2020,3859.293W
09.10.2020,3466.2214W
10.10.2020,2559.1785W
11.10.2020,329.5116W
12.10.2020,1024.2408W
13.10.2020,622.6946W
14.10.2020,3333.8696W
15.10.2020,419.5385W
16.10.2020,713.2595W
17.10.2020,1833.4254W
18.10.2020,2469.5789W
19.10.2020,1073.3334W
20.10.2020,2871.3384W
21.10.2020,3060.947W
22.10.2020,3291.1343W
23.10.2020,1547.7046W
24.10.2020,509.4923W
25.10.2020,3638.3691W
26.10.2020,1699.9683W
27.10.2020,209.4488W
28.10.2020,3422.8594W
29.10.2020,1424.5079W
30.10.2020,2325.8818W
31.10.2020,3126.2993W
01.11.2020,1825.063W
02.11.2020,2377.8413W
03.11.2020,872.4309W
04.11.2020,228.3248W
05.11.2020,2683.8853W
06.11.2020,3701.5081W
07.11.2020,3720.4597W
08.11.2020,3759.082W
09.11.2020,438.2101W
10.11.2020,119.1416W
11.11.2020,220.5877W
12.11.2020,493.2672W
13.11.2020,1024.0854W
14.11.2020,2494.3279W
15.11.2020,183.7838W
16.11.2020,210.1035W
17.11.2020,3487.3052W
18.11.2020,3464.2627W
19.11.2020,416.6724W
20.11.2020,1299.8334W
21.11.2020,3594.5339W
22.11.2020,3570.2051W
23.11.2020,783.2174W
24.11.2020,2432.2327W
25.11.2020,243.8333W
26.11.2020,172.7909W
