Time,Inv 1 AC-Leistung (W)
12.09.2022,3807.8735W
13.09.2022,3324.9045W
14.09.2022,3064.8645W
15.09.2022,1250.4667W
16.09.2022,318.8435W
17.09.2022,584.8411W
18.09.2022,2175.0066W
19.09.2022,4159.8506W
20.09.2022,3054.2026W
21.09.2022,3261.448W
22.09.2022,3114.1382W
23.09.2022,4270.3975W
24.09.2022,2995.8354W
25.09.2022,853.8904W
26.09.2022,1415.349W
27.09.2022,609.118W
28.09.2022,2379.8027W
29.09.2022,260.6154W
30.09.2022,1632.5972W
01.10.2022,1665.3103W
02.10.2022,1851.9795W
03.10.2022,1884.8112W
04.10.2022,3975.6257W
05.10.2022,3211.4414W
06.10.2022,3606.3171W
07.10.2022,3556.0986W
08.10.2022,2982.7375W
09.10.2022,687.5036W
10.10.2022,2988.8501W
11.10.2022,3390.5361W
12.10.2022,1861.7246W
13.10.2022,3654.0647W
14.10.2022,2716.5579W
15.10.2022,806.6788W
16.10.2022,3747.3022W
17.10.2022,3632.1606W
18.10.2022,3550.6716W
19.10.2022,3386.6567W
20.10.2022,1289.1204W
21.10.2022,1044.8881W
22.10.2022,318.5263W
23.10.2022,2740.291W
24.10.2022,1123.1591W
25.10.2022,3337.6667W
26.10.2022,1904.6565W
27.10.2022,3594.3589W
28.10.2022,3599.0229W
29.10.2022,3028.8923W
30.10.2022,3088.907W
31.10.2022,3474.125W
01.11.2022,3262.7439W
02.11.2022,2016.8W
03.11.2022,1149.8651W
04.11.2022,88.8167W
05.11.2022,1020.0W
06.11.2022,3645.512W
07.11.2022,3716.3613W
08.11.2022,3513.7983W
09.11.2022,3236.2339W
10.11.2022,403.9106W
11.11.2022,1531.1464W
12.11.2022,1975.625W
13.11.2022,3075.4661W
14.11.2022,2187.8291W
15.11.2022,319.5826W
16.11.2022,433.9076W
17.11.2022,1589.9584W
18.11.2022,390.2328W
19.11.2022,141.3333W
20.11.2022,1965.9915W
21.11.2022,2584.2307W
22.11.2022,367.1892W
23.11.2022,394.1491W
24.11.2022,2596.9043W
25.11.2022,3251.8633W
26.11.2022,1609.5983W
27.11.2022,3236.3914W
28.11.2022,1658.5267W
29.11.2022,213.0741W
30.11.2022,132.1308W
01.12.2022,165.2076W
02.12.2022,247.1143W
03.12.2022,83.8962W
04.12.2022,79.1456W
05.12.2022,348.3394W
06.12.2022,1887.4862W
07.12.2022,1298.9099W
08.12.2022,142.699W
09.12.2022,237.3832W
10.12.2022,49.7822W
11.12.2022,668.972W
12.12.2022,2244.0178W
13.12.2022,2794.0W
14.12.2022,1312.7222W
15.12.2022,1800.6909W
16.12.2022,289.4762W
17.12.2022,706.9725W
18.12.2022,1008.9907W
19.12.2022,276.9906W
20.12.2022,76.1274W
21.12.2022,517.7798W
22.12.2022,1296.7181W
23.12.2022,2489.0818W
24.12.2022,1748.1455W
25.12.2022,2015.6608W
26.12.2022,1615.5765W
27.12.2022,2217.9106W
28.12.2022,2062.1711W
29.12.2022,2602.259W
30.12.2022,784.6389W
31.12.2022,982.3455W
01.01.2023,2419.6758W
02.01.2023,2412.646W
03.01.2023,161.844W
04.01.2023,2595.6577W
05.01.2023,993.2056W
06.01.2023,2594.1379W
07.01.2023,1451.1913W
08.01.2023,1938.4197W
09.01.2023,203.0935W
10.01.2023,1755.5714W
11.01.2023,704.3452W
12.01.2023,2025.2655W
13.01.2023,1047.7028W
14.01.2023,3148.0608W
15.01.2023,605.7105W
16.01.2023,79.75W
17.01.2023,267.5872W
18.01.2023,909.5398W
19.01.2023,322.7787W
20.01.2023,539.8348W
21.01.2023,752.931W
22.01.2023,125.2212W
23.01.2023,83.0935W
24.01.2023,174.7193W
25.01.2023,259.1239W
26.01.2023,176.3214W
27.01.2023,452.6667W
28.01.2023,38.3604W
29.01.2023,526.0818W
30.01.2023,2583.8196W
31.01.2023,3417.6829W
01.02.2023,3367.6453W
02.02.2023,378.1207W
03.02.2023,2247.0W
04.02.2023,2019.376W
05.02.2023,3805.9048W
06.02.2023,1847.3096W
07.02.2023,3984.937W
08.02.2023,1683.9919W
09.02.2023,3873.3438W
10.02.2023,3942.9612W
11.02.2023,2986.5649W
12.02.2023,3342.5308W
13.02.2023,4006.0923W
14.02.2023,3947.4395W
15.02.2023,2879.1526W
16.02.2023,3795.3384W
17.02.2023,2234.6411W
18.02.2023,2999.519W
19.02.2023,3430.2615W
20.02.2023,3485.7368W
21.02.2023,4089.4592W
22.02.2023,3623.5881W
23.02.2023,767.272W
24.02.2023,2951.1912W
25.02.2023,2983.8076W
26.02.2023,1041.313W
27.02.2023,1814.3604W
28.02.2023,1669.8322W
01.03.2023,615.5621W
02.03.2023,857.6522W
03.03.2023,2130.8215W
04.03.2023,4261.9858W
05.03.2023,3766.6458W
06.03.2023,1620.1277W
07.03.2023,126.8804W
08.03.2023,2703.4895W
09.03.2023,3644.1458W
10.03.2023,2703.0547W
11.03.2023,4151.9795W
12.03.2023,3505.1089W
13.03.2023,2653.696W
14.03.2023,916.9149W
15.03.2023,2461.0811W
16.03.2023,4575.188W
17.03.2023,3899.8467W
18.03.2023,4057.4666W
19.03.2023,3184.2954W
20.03.2023,1652.3087W
21.03.2023,3259.0527W
22.03.2023,3542.3594W
23.03.2023,3140.2207W
24.03.2023,1901.6184W
25.03.2023,1047.7358W
26.03.2023,1406.7349W
27.03.2023,2181.8823W
28.03.2023,4459.3726W
29.03.2023,1696.0195W
30.03.2023,1558.6259W
31.03.2023,2103.085W
01.04.2023,2320.2803W
02.04.2023,2102.7913W
03.04.2023,2671.5437W
04.04.2023,4574.1235W
05.04.2023,4575.1289W
06.04.2023,4557.105W
07.04.2023,3756.1667W
08.04.2023,521.4459W
09.04.2023,1407.0247W
10.04.2023,3268.9395W
11.04.2023,1628.4849W
12.04.2023,2858.741W
13.04.2023,609.9434W
14.04.2023,539.4025W
15.04.2023,1000.7939W
16.04.2023,1644.7738W
17.04.2023,2668.3154W
18.04.2023,1075.8988W
19.04.2023,1729.9042W
20.04.2023,2431.1648W
21.04.2023,1657.0116W
22.04.2023,4178.7559W
23.04.2023,2489.5708W
24.04.2023,716.0537W
25.04.2023,2457.0286W
26.04.2023,2560.0454W
27.04.2023,2843.5625W
28.04.2023,1381.4091W
29.04.2023,2714.9441W
30.04.2023,2482.3909W
01.05.2023,2870.866W
02.05.2023,928.6879W
03.05.2023,1148.6384W
04.05.2023,4001.5747W
05.05.2023,3980.7278W
06.05.2023,2858.3203W
07.05.2023,2611.2158W
08.05.2023,1525.7372W
09.05.2023,2318.5217W
10.05.2023,1678.6333W
11.05.2023,390.7667W
12.05.2023,985.7627W
13.05.2023,441.5444W
14.05.2023,545.1074W
15.05.2023,3292.5537W
16.05.2023,472.7069W
17.05.2023,1087.9728W
18.05.2023,1880.8823W
19.05.2023,1961.7729W
20.05.2023,2249.1892W
21.05.2023,2882.3599W
22.05.2023,3329.8254W
23.05.2023,1854.799W
24.05.2023,439.4652W
25.05.2023,3620.1904W
26.05.2023,2854.2642W
27.05.2023,3679.0886W
28.05.2023,3569.9263W
29.05.2023,3080.198W
30.05.2023,2909.3699W
31.05.2023,2497.7083W
01.06.2023,3353.658W
02.06.2023,2980.2761W
03.06.2023,2885.6753W
04.06.2023,1719.7617W
05.06.2023,598.1123W
06.06.2023,1936.1211W
07.06.2023,2447.137W
08.06.2023,1903.8608W
09.06.2023,2687.8W
10.06.2023,1614.1309W
11.06.2023,1364.202W
12.06.2023,2265.8411W
13.06.2023,3264.1082W
14.06.2023,1549.8776W
15.06.2023,2642.4619W
16.06.2023,2766.0613W
17.06.2023,3012.7512W
18.06.2023,3420.9082W
19.06.2023,3109.5796W
20.06.2023,3293.7642W
21.06.2023,2733.022W
22.06.2023,3203.3628W
23.06.2023,1170.3846W
24.06.2023,2166.4949W
25.06.2023,3236.1616W
26.06.2023,3059.1531W
27.06.2023,659.5492W
28.06.2023,2998.4922W
29.06.2023,3596.3469W
30.06.2023,3369.5181W
01.07.2023,1157.9794W
02.07.2023,2053.6565W
03.07.2023,835.0461W
04.07.2023,2215.5876W
05.07.2023,2444.8704W
06.07.2023,2175.4194W
07.07.2023,3251.3264W
08.07.2023,3432.2437W
09.07.2023,3374.8557W
10.07.2023,2777.1709W
11.07.2023,3173.627W
12.07.2023,2605.4556W
13.07.2023,1890.6702W
14.07.2023,3386.5234W
15.07.2023,3541.5544W
16.07.2023,2896.0886W
17.07.2023,2482.3386W
18.07.2023,3054.5W
19.07.2023,1550.1979W
20.07.2023,2379.9946W
21.07.2023,1533.0642W
22.07.2023,1879.7301W
23.07.2023,3445.0054W
24.07.2023,2196.7554W
25.07.2023,834.6264W
26.07.2023,2797.1924W
27.07.2023,3292.7058W
28.07.2023,3371.5435W
29.07.2023,3218.1531W
30.07.2023,3057.7988W
31.07.2023,2544.8262W
01.08.2023,603.6531W
02.08.2023,2271.8804W
03.08.2023,494.9719W
04.08.2023,412.2308W
05.08.2023,280.815W
06.08.2023,2172.7039W
07.08.2023,2195.9282W
08.08.2023,3533.3723W
09.08.2023,1609.6871W
10.08.2023,3269.3743W
11.08.2023,3796.6926W
12.08.2023,3790.6853W
13.08.2023,3666.4294W
14.08.2023,3746.0449W
15.08.2023,3687.1194W
16.08.2023,2703.0801W
17.08.2023,3078.8513W
18.08.2023,2681.9597W
19.08.2023,2938.9656W
20.08.2023,3552.8679W
21.08.2023,3637.948W
22.08.2023,3576.5664W
23.08.2023,2211.5088W
24.08.2023,3105.2236W
25.08.2023,3412.6406W
26.08.2023,3673.4971W
27.08.2023,3444.1006W
28.08.2023,1377.0549W
29.08.2023,509.9057W
30.08.2023,1512.1841W
31.08.2023,2829.8062W
01.09.2023,3461.5244W
02.09.2023,3406.5334W
03.09.2023,1968.3558W
04.09.2023,3555.0667W
05.09.2023,3910.291W
06.09.2023,3624.9878W
07.09.2023,3818.3704W
08.09.2023,3770.2654W
09.09.2023,3816.1492W
10.09.2023,3853.5776W
11.09.2023,3761.6792W
12.09.2023,3413.3608W
13.09.2023,2670.3701W
14.09.2023,1328.6202W
15.09.2023,2254.0891W
16.09.2023,3189.4487W
17.09.2023,3691.9937W
18.09.2023,2271.8896W
19.09.2023,2834.2273W
20.09.2023,3431.6689W
21.09.2023,2949.3921W
22.09.2023,2135.6406W
23.09.2023,444.7872W
24.09.2023,429.1611W
25.09.2023,701.86W
26.09.2023,3500.9866W
27.09.2023,3441.8601W
28.09.2023,3581.906W
29.09.2023,3732.5715W
30.09.2023,2466.6572W
01.10.2023,3423.7095W
02.10.2023,3570.6736W
03.10.2023,3587.7449W
04.10.2023,1446.3217W
05.10.2023,3030.6458W
06.10.2023,3721.6267W
07.10.2023,3263.0071W
08.10.2023,669.2482W
09.10.2023,2391.3188W
10.10.2023,1889.9143W
11.10.2023,3538.8298W
12.10.2023,3234.6116W
13.10.2023,3344.9143W
14.10.2023,3479.2102W
15.10.2023,438.0454W
16.10.2023,3765.3914W
17.10.2023,3017.9778W
18.10.2023,2729.9265W
19.10.2023,1809.7926W
20.10.2023,1319.0461W
21.10.2023,1482.0376W
22.10.2023,3028.2749W
23.10.2023,2787.7144W
24.10.2023,163.6W
25.10.2023,897.8626W
26.10.2023,1510.9W
27.10.2023,1147.45W
28.10.2023,2147.2656W
29.10.2023,1721.1473W
30.10.2023,782.5806W
31.10.2023,203.608W
01.11.2023,3193.2092W
02.11.2023,1131.6666W
03.11.2023,495.1465W
04.11.2023,2910.135W
05.11.2023,2688.8501W
06.11.2023,3023.28W
07.11.2023,2821.6128W
08.11.2023,2888.0081W
09.11.2023,2001.2927W
10.11.2023,224.6581W
11.11.2023,1269.8488W
12.11.2023,2198.2952W
13.11.2023,968.6334W
14.11.2023,1017.975W
15.11.2023,1407.1583W
16.11.2023,963.475W
17.11.2023,691.9474W
18.11.2023,964.6949W
19.11.2023,1337.0513W
20.11.2023,591.4483W
21.11.2023,207.0251W
22.11.2023,952.0531W
23.11.2023,1217.4562W
24.11.2023,318.531W
25.11.2023,1160.9224W
26.11.2023,1226.6228W
27.11.2023,933.7679W
28.11.2023,896.3091W
29.11.2023,1126.9386W
30.11.2023,238.3491W
01.12.2023,166.4762W
02.12.2023,1.1489W
03.12.2023,49.0152W
04.12.2023,56.6414W
05.12.2023,157.2477W
06.12.2023,16.0674W
07.12.2023,635.9541W
08.12.2023,1149.9733W
09.12.2023,400.0W
10.12.2023,853.6953W
11.12.2023,492.3874W
12.12.2023,687.6697W
13.12.2023,50.9604W
14.12.2023,815.6168W
15.12.2023,1010.3604W
16.12.2023,750.4091W
17.12.2023,738.9823W
18.12.2023,632.6757W
19.12.2023,645.3514W
20.12.2023,520.5585W
21.12.2023,470.1574W
22.12.2023,86.5W
23.12.2023,1414.4205W
24.12.2023,695.5849W
25.12.2023,336.6881W
26.12.2023,896.0826W
27.12.2023,684.0721W
28.12.2023,724.4545W
29.12.2023,700.7091W
30.12.2023,868.0708W
31.12.2023,570.4182W
01.01.2024,779.4954W
02.01.2024,619.0909W
03.01.2024,706.9099W
04.01.2024,863.5625W
05.01.2024,371.1376W
06.01.2024,95.8627W
07.01.2024,282.7477W
08.01.2024,228.6667W
09.01.2024,192.7048W
10.01.2024,948.5398W
11.01.2024,907.386W
12.01.2024,1179.9115W
13.01.2024,956.0522W
14.01.2024,303.6429W
15.01.2024,921.1376W
16.01.2024,818.5862W
17.01.2024,740.2432W
18.01.2024,1021.0367W
19.01.2024,470.6637W
20.01.2024,1104.3474W
21.01.2024,1091.1526W
22.01.2024,1167.7826W
23.01.2024,982.3167W
24.01.2024,800.62W
25.01.2024,741.0918W
26.01.2024,876.5339W
27.01.2024,1355.7852W
28.01.2024,1389.8099W
29.01.2024,1458.0909W
30.01.2024,1449.9918W
31.01.2024,1353.7623W
01.02.2024,665.1464W
02.02.2024,1095.8347W
03.02.2024,1708.3969W
04.02.2024,1092.8966W
05.02.2024,1186.2347W
06.02.2024,1850.7222W
07.02.2024,1854.064W
08.02.2024,2121.312W
09.02.2024,928.9344W
10.02.2024,1124.4678W
11.02.2024,313.8197W
12.02.2024,1279.3521W
13.02.2024,2312.8818W
